,Brand,Model,Features,Color,Display_size,belt_size,Prices,MRP,Deal,Offer_percentage
322,Maxima,Max,"Pro Infinity 2.01""Ultra HD 2.5D Curved Displ...",Pink Strap,2.01, Free Size,1177.0,5999.0,Lowest price in the year,77
323,REDMI,Watch,"3 Active Bluetooth Calling 1.83"" Screen, Up...",Charcoal Black Strap,1.83, Free Size,2399.0,3999.0,Upto ₹300 Off on Exchange,60
324,Fastrack,Revoltt,FR2-1.38''|Advanced Blazing Fast UI|Wo...,Green Strap,1.38, Free Size,1599.0,14999.0,Bank Offer,60
325,alt,OG,Supreme 1.96'' AMOLED Single Chip Calling 120 sp...,Black Strap,1.96, Regular,799.0,9999.0,Super Deals,94
326,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,4999.0,Super Deals,84
327,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,8999.0,Bank Offer,78
328,GOBOULT,(formerly,"Boult) Drift 2, 15 days Battery life,...",Metal Black Strap,1.83, Free Size,1299.0,9499.0,Bank Offer,85
329,boAt,Chrome,"Horizon, 1.51''(3.83cm) AMOLED Display, Vid...",Coco Brown Strap,1.51, Free Size,3598.0,8999.0,Bank Offer,62
330,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,7999.0,Bank Offer,83
331,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,39900.0,Bank Offer,86
332,Google,Watch,2 Smartwatch,Hazel Active Strap,nan, Free Size,29278.0,3999.0,Upto ₹300 Off on Exchange,26
333,Melbon,Lumina,"2.01 AMOLED Display, Smart Health, Music,...",Maroon Strap,nan, For Regular Wear,820.0,7499.0,Super Deals,79
334,boAt,Storm,"Call 3 Plus w/ Turn by Turn Navigation, QR T...",Black Metal Mesh Strap,1.96, Free Size,1349.0,55900.0,Bank Offer,82
335,Apple,Watch,"Series 8, 41mm GPS + Cellular ECG app, Temp...",Starlight Sport Strap,41 mm, Regular,35382.0,12999.0,Upto ₹300 Off on Exchange,36
336,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,18999.0,Super Deals,91
337,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,4995.0,Super Deals,90
338,Fastrack,Revoltt,FS2 1.91 Super HD Display(320x385) wit...,Black Strap,nan, Free Size,2028.0,2999.0,Bank Offer,59
339,PunnkFunnk,Edge-Lite,"| 1.99 "" Amoled Display | BT Calli...",Pink Strap,1.99, Regular Size,789.0,11999.0,Bank Offer,73
340,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,7999.0,Super Deals,88
341,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,9999.0,Bank Offer,86
342,boAt,Lunar,"Discovery Pro, 1.39'' HD Display, QR Tray, E...",Sports Blue Strap,1.39, Free Size,1599.0,11990.0,Super Deals,84
343,alt,Drip,Smartwatch,Lunar Black Strap,nan, Regular,799.0,19999.0,Super Deals,93
344,Fire-Boltt,Cobra,"45.2mm (1.78) AMOLED Army Grade Build,...",Camo Sand Strap,1.78, Free Size,2199.0,9495.0,Super Deals,89
345,Fastrack,Marvellous,FX2-1.54|Super AMOLED|1000 Nits|Lux...,Gun Strap,nan, Free Size,6895.0,7999.0,Upto ₹300 Off on Exchange,27
346,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,11999.0,Bank Offer,81
347,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,3999.0,Super Deals,90
348,GameSir,H9,Black-A1 Full Screen Touch Watch Specially M...,Black Strap,nan, 2.01 Inch Full Screen Display,797.0,7499.0,Super Deals,80
349,GOBOULT,(formerly,"Boult) Crown R Pro 2 1.43''HD AMOLED,...",Bourbon Strap,1.43, Free Size,2499.0,11999.0,Upto ₹300 Off on Exchange,66
350,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,2999.0,Bank Offer,84
351,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,8999.0,Super Deals,78
352,Noise,Pro,6 1.85'' Amoled Dispay with AI Watch Faces & ...,Ivory Gold Strap,1.85, Regular,5499.0,6499.0,Super Deals,38
353,boAt,Storm,"Infinity Plus, 20 Days BIG Battery, ASAP Cha...",Deep Blue Strap,1.96, Free Size,1199.0,6999.0,Super Deals,81
354,Noise,Icon,"4 with Stunning 1.96'' Display, Metallic Fin...",Forest Green Strap,1.96, Regular,1699.0,8999.0,Super Deals,75
355,boAt,Ultima,"Ember w/ 1.96''(4.97cm)AMOLED Screen,Person...",Rose Gold Strap,1.96, Free Size,2199.0,18999.0,Upto ₹300 Off on Exchange,75
356,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,11999.0,Super Deals,90
357,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,27900.0,Bank Offer,89
358,Apple,Watch,SE 2 GPS 44mm (2nd Gen) Starlight Aluminium...,Starlight Strap,44 mm, Free Size,24499.0,4999.0,Upto ₹300 Off on Exchange,12
359,Lifelong,Muse,"Smart Watch with BT Calling|1.91"" Display...",Multicolor Strap,1.91, Free Additional Strap,850.0,4499.0,Bank Offer,82
360,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,9999.0,Super Deals,75
361,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,7995.0,Super Deals,89
362,Fastrack,FX4-1.51''|Largest,AMOLED|AOD|Premium Design|S...,Gun Strap,1.51, Free Size,5245.0,7999.0,Hot Deal,34
363,Nervfit,MyCLNQ,"Pulse 1.83"" Display, BT Calls, Waterproo...",Midnight Black Strap,1.83, Free size,920.0,11995.0,Lowest price since launch,88
364,Titan,Smart,3-1.96''|Super AMOLED|AOD|Premium Design|BT...,Black Strap,1.96, Free Size,5159.0,8999.0,Upto ₹300 Off on Exchange,56
365,Noise,Evolve,4 Metal Edition with 1.46 inch AMOLED Disp...,Elite Nickel Strap,1.46, Regular,2799.0,9999.0,Super Deals,68
366,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,4999.0,Super Deals,84
367,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,9999.0,Bank Offer,78
368,boAt,Lunar,"Discovery Pro, 1.39'' HD Display, QR Tray, E...",Rose Gold Strap,1.39, Free Size,1599.0,9499.0,Super Deals,84
369,boAt,Chrome,"Horizon, 1.51''(3.83cm) AMOLED Display, Vid...",Midnight Black Strap,1.51, Free Size,3299.0,8999.0,Bank Offer,65
370,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,7999.0,Bank Offer,83
371,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,8999.0,Bank Offer,86
372,GOBOULT,(formerly,"Boult) Drift 2, 15 days Battery life,...",Carbon Black Strap,1.83, Free Size,1099.0,9999.0,Bank Offer,87
373,boAt,Ultima,"Regal 5.1cm(2.01"") AMOLED Display,Functiona...",Cherry Blossom Strap,2.01, Free Size,2898.0,6999.0,Upto ₹300 Off on Exchange,71
374,Noise,Halo,"2 MOD with Swappable Bezel Editions, 1.46 AM...",Jet Black Strap,nan, Regular,4408.0,18999.0,Hot Deal,37
375,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Black Mesh Strap,2.02, Free Size,2199.0,12999.0,Upto ₹300 Off on Exchange,88
376,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,18999.0,Super Deals,91
377,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,27900.0,Super Deals,90
378,Apple,Watch,SE 2 GPS 44mm (2nd Gen) Silver Aluminium wi...,Blue Cloud Strap,44 mm, Free Size,24499.0,4500.0,Upto ₹300 Off on Exchange,12
379,Yash,Enterprises,T-800 Ultra Smart Watch With Wireless ...,Orange Strap,nan, Free Size,464.0,11999.0,Bank Offer,89
380,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,7999.0,Super Deals,88
381,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,3999.0,Bank Offer,86
382,Cellecor,RUSH,"1.91"" HD Display | 600 NITS | BT-Calling ...",GOLD/PURPLE-BROWN Strap,1.91, Free Size,898.0,6999.0,Super Deals,77
383,Noise,Pulse,"3 1.96'' Display, BT Calling, 100 Sports Mo...",Blush Pink Strap,1.96, Regular,1199.0,2999.0,Super Deals,82
384,RISHI,ENTERPRISES,"Trendy latest Gen9 smartwatch, Golden...",Gold Strap,nan, Free Size,888.0,5999.0,Bank Offer,70
385,Noise,Icon,"Arc 2.01"" Immersive Curved Display, 10 Days ...",Jet Black Strap,2.01, Regular,1299.0,7999.0,Super Deals,78
386,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,11999.0,Bank Offer,81
387,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,7999.0,Super Deals,90
388,Nervfit,Vibe,"1.85"" TrueColor+ Super HD, BT Calls, Water...",Orchid Pink Strap,1.85, Free size,1549.0,24900.0,Bank Offer,80
389,Apple,Watch,SE 2 GPS 40mm (2nd Gen) Midnight Aluminium ...,Ink Strap,40 mm, Free Size,22499.0,11999.0,Upto ₹300 Off on Exchange,9
390,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,2999.0,Bank Offer,84
391,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,20499.0,Super Deals,78
392,FITBIT,Fitness,Watch 6-Month Membership Smartwatch,Beet Juice Strap,nan, L,15999.0,3995.0,Upto ₹300 Off on Exchange,21
393,Fastrack,Revoltt,FS1-1.83''|BT Calling|Fast Charge|110+...,Green Strap,1.83, Free Size,1599.0,9499.0,Bank Offer,59
394,Apple,Watch,Series 11 GPS 46mm Jet Black Aluminium Case...,Black Strap,46 mm, Small/Medium,49900.0,18999.0,Bank Offer,60
395,boAt,Chrome,"Endeavour,1.96 AMOLED Display,AI Coach Heal...",Active Black Strap,nan, Free Size,3799.0,11999.0,Super Deals,90
396,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,4999.0,Super Deals,89
397,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,8999.0,Bank Offer,52
398,Fastrack,Pro-1.97'',Super AMOLED Display|AOD|Working Cr...,Green Strap,1.97, Free Size,2399.0,4499.0,Hot Deal,83
399,boAt,Wave,"Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",Active Black Strap,2.01, One Size,1499.0,5999.0,Bank Offer,78
400,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,6999.0,Super Deals,75
401,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Jet Black Strap,1.8, Regular,1099.0,19999.0,Super Deals,81
402,Noise,Icon,"4 with Stunning 1.96'' Display, Metallic Fin...",Forest Green Strap,1.96, Regular,1699.0,27900.0,Super Deals,75
403,Huawei,Watch,"GT4 46mm 14 Days Battery Life, TruSeen Tec...",Green Strap,46 mm, One Size,13588.0,5999.0,Upto ₹300 Off on Exchange,32
404,Apple,Watch,SE 2 GPS 44mm (2nd Gen) Silver Aluminium wi...,Blue Cloud Strap,44 mm, Free Size,24499.0,8499.0,Upto ₹300 Off on Exchange,12
405,Noise,Crew,"1.38 Round Display with Bluetooth Calling, M...",Black Link Strap,nan, Regular,1399.0,9999.0,Super Deals,76
406,GOBOULT,(formerly,"Boult) Drift+ 1.85"" ,BT Calling, 500N...",Jet Black Strap,1.85, Free Size,999.0,5999.0,Super Deals,88
407,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,11995.0,Super Deals,84
408,Noise,Diva,"Diamond-cut Dial, AMOLED Display, Glossy Met...",Black Link Strap,nan, Regular,3349.0,4999.0,Super Deals,44
409,Titan,Smart,3-1.96''|Super AMOLED|AOD|Premium Design|BT...,Black Strap,1.96, Free Size,5159.0,7999.0,Upto ₹300 Off on Exchange,56
410,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,7995.0,Bank Offer,78
411,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,3999.0,Bank Offer,86
412,Fastrack,Revoltt,"FS1 Pro|World's First,1.96"" Super AMOL...",Wine Red Strap,1.96, Free Size,2895.0,5999.0,Upto ₹300 Off on Exchange,63
413,Cellecor,TWIST,"2.01"" Curved HD Display | 800 NITS| AOD|...",Grey Strap,2.01, Free Size,1099.0,7499.0,Super Deals,72
414,CMF,by,"Nothing Watch Pro, 1.96 AMOLED display, BT calli...",Dark Grey Strap,nan, Free Size,4534.0,18999.0,Upto ₹300 Off on Exchange,24
415,boAt,Wave,"Call 2 Plus with 1.96’’(4.97cm), BT Calling, ...",Blossom Strap,1.96, Free Size,1449.0,11999.0,Bank Offer,80
416,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
417,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,3995.0,Super Deals,88
418,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Grey Wave Strap,2.02, Free Size,2330.0,7999.0,Upto ₹300 Off on Exchange,87
419,Fastrack,Revoltt,FS1-1.83''|BT Calling|Fast Charge|110+...,Wine Red Strap,1.83, Free Size,1528.0,7999.0,Bank Offer,61
420,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,6999.0,Bank Offer,81
421,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,8999.0,Bank Offer,86
422,Noise,Twist,"2,1.43''AMOLED Display, AI Search & Voice A...",Cloud Grey Strap,1.43, Regular,2198.0,4999.0,Super Deals,68
423,boAt,Wave,"Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",Sapphire Breeze Strap,2.01, One Size,1499.0,8499.0,Bank Offer,83
424,Fastrack,Revoltt,Pro-1.97'' Super AMOLED Display|AOD|Wo...,Beige Strap,1.97, Free Size,2542.0,24999.0,Bank Offer,49
425,boAt,Enigma,Daze Women's Luxury Watch w/ SOS Location T...,Beige Strap,1.3, Free Size,1999.0,11999.0,Super Deals,76
426,Fire-Boltt,Oracle,"-, , Play store & Phone Notification ...",Orange Horon Strap,nan, Free Size,2699.0,8999.0,Super Deals,89
427,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,6999.0,Bank Offer,84
428,boAt,Ultima,"Prime w/ 1.43""(3.68cm)AMOLED Display,Person...",Forest Green Strap,1.43, Free Size,1999.0,5999.0,Super Deals,77
429,Noise,Ultra,"3 Luminary 1st Ever Personalised Alert, 1.9...",Space Blue Strap,1.96, Regular,3139.0,11999.0,Upto ₹300 Off on Exchange,55
430,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Midnight Blue Strap,1.8, Regular,1099.0,3995.0,Super Deals,81
431,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,3999.0,Super Deals,90
432,Fastrack,Revoltt,FS1-1.83''|BT Calling|Fast Charge|110+...,Rose Gold Strap,1.83, Free Size,1528.0,8999.0,Bank Offer,61
433,Cellecor,M5,"PLUS 2.01"" IPS HD Display | 700 NITS | BT-C...",Black Strap,2.01, Free Size,999.0,3999.0,Bank Offer,75
434,boAt,Wave,"Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",cherry Blossom Strap,2.01, One Size,1499.0,18999.0,Bank Offer,83
435,Cellecor,Flex,"1.83"" BT Calling, 500 NITS, AI Voice Assi...",Black Strap,1.83, Free Size,999.0,2999.0,Bank Offer,75
436,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Dark Grey Strap,2.06, Free Size,1749.0,13995.0,Super Deals,90
437,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,5995.0,Super Deals,78
438,Titan,Crest-1.43''|Premium,Design|AMOLED|AOD|Working Cr...,Black Strap,1.43, Free Size,7243.0,4499.0,Bank Offer,48
439,Fastrack,Optimus,Pro with 1.43 AMOLED Display & AOD(466...,Green Strap,nan, Free Size,3107.0,9999.0,Upto ₹300 Off on Exchange,48
440,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,56900.0,Super Deals,75
441,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,8999.0,Super Deals,89
442,Apple,Watch,Series 10 GPS + 42mm Rose Gold Aluminium wi...,Plm Strap,42 mm, Free Size,44499.0,4999.0,Upto ₹300 Off on Exchange,21
443,Noise,Pro,6 1.85'' Amoled Dispay with AI Watch Faces & ...,Jet Black Strap,1.85, Regular,5499.0,8295.0,Super Deals,38
444,Noise,Icon,"Buzz 1.69"" Display with Bluetooth Calling, W...",Rose Pink Strap,1.69, Regular,1199.0,9999.0,Super Deals,76
445,Fastrack,Radiant,FX4-1.51''|Largest EdgeX AMOLED|AOD|Pr...,Rose Gold Strap,1.51, Free Size,5828.0,4999.0,Upto ₹300 Off on Exchange,29
446,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,3999.0,Super Deals,84
447,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,19999.0,Bank Offer,78
448,Fastrack,Revoltt,Classic-1.83''|Metal Design|Working Cr...,Black Strap,1.83, Free Size,2499.0,8999.0,Bank Offer,37
449,Huawei,Watch,"GT4 46mm 14 Days Battery Life, TruSeen Tec...",Green Strap,46 mm, One Size,13588.0,7999.0,Upto ₹300 Off on Exchange,32
450,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,5995.0,Bank Offer,83
451,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,6999.0,Bank Offer,86
452,Fastrack,Optimus,Pro with 1.43 AMOLED Display & AOD(466...,Blue Strap,nan, Free Size,3152.0,2999.0,Upto ₹300 Off on Exchange,47
453,Noise,Vortex,"Plus, 1.46'' AMOLED Display, BT Calling, S...",Jet Black Strap,1.46, Regular,1999.0,7499.0,Super Deals,71
454,FITRIC,T800,ultra smart watch with wireless charging Sm...,orange Strap,nan, M,460.0,12999.0,Super Deals,84
455,boAt,Wave,"Call 2 Plus with 1.96’’(4.97cm), BT Calling, ...",Blossom Strap,1.96, Free Size,1449.0,18999.0,Bank Offer,80
456,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,9999.0,Super Deals,91
457,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,7999.0,Super Deals,90
458,Fire-Boltt,Talk,Ultra 35.3mm (1.39) Round Color HD Disp...,Red Strap,1.39, Regular,1299.0,11999.0,Super Deals,87
459,Noise,Hexa,"1.96"" AMOLED with ArcView Display, Bluetooth...",Vintage Brown Strap,1.96, Regular,2665.0,7999.0,Upto ₹300 Off on Exchange,66
460,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,4999.0,Super Deals,88
461,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,6999.0,Bank Offer,86
462,REDMI,Watch,"5 Active BT Calling 3 mic,2""HD Screen,18 da...",Active Midnight Black Strap,2, Free Size,2598.0,24999.0,Hot Deal,48
463,Noise,Ultra,"3 Luminary 1st Ever Personalised Alert, 1.9...",Jet Black Strap,1.96, Regular,2899.0,12999.0,Super Deals,58
464,Fire-Boltt,Oracle,"WristPhone - 4G SIM/LTE/WiFi, Android...",Marine Mirage Strap,nan, Free Size,2699.0,7999.0,Super Deals,89
465,alt,"GOAT,","1.78 AMOLED Display, Single Chip Bluetooth Ca...",Black Strap,nan, Free Size,799.0,11999.0,Super Deals,93
466,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,6999.0,Bank Offer,81
467,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,8999.0,Super Deals,90
468,DIZO,Watch,"R Talk, Amoled Display with Calling & 10 day...",Black Strap,nan, Free Size,2699.0,11999.0,Upto ₹300 Off on Exchange,61
469,boAt,Enigma,Daze Women's Luxury Watch w/ SOS Location T...,Metallic Gold Strap,1.3, Free Size,2199.0,2999.0,Super Deals,75
470,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,7999.0,Bank Offer,84
471,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,1999.0,Super Deals,78
472,Noise,Ultra,"3 Luminary 1st Ever Personalised Alert, 1.9...",Olive Green Strap,1.96, Regular,3349.0,49999.0,Super Deals,58
473,GameSir,I8,Pink-A1 Full Screen Touch Watch Specially Ma...,Pink Strap,nan, 1.75 Inch Full Screen Display Notifications smartwatch,628.0,59900.0,Bank Offer,68
474,Huawei,Watch,"D2,1.82''AMOLED,Blood Pressure Monitoring,...",Black Strap,1.82, Free Size,35499.0,18999.0,Super Deals,29
475,Apple,Watch,Series 10 GPS + Cellular 46mm Rose Gold Alu...,Plum Strap,46 mm, Free Size,48999.0,11999.0,Upto ₹300 Off on Exchange,18
476,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,10999.0,Super Deals,90
477,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,6999.0,Bank Offer,89
478,PA,Maxima,"Aura Fashion Women 1.19 HD Display,Metal Case...",Rose Gold Strap,nan, Free Size,2195.0,4499.0,Bank Offer,80
479,Noise,Icon,"5 with AI Watch Faces, AI Search, 1.95"" AMOL...",Rose Pink Strap,1.95, Regular,1998.0,9999.0,Bank Offer,71
